wkb_geometry;id;descr;fumetto;link
"POINT (662506.068747322 5105296.34010994)";50;Al mio rione ci penso anch'io;Al mio rione ci penso anch'io;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Al-mio-rione-ci-penso-anch-io
"POINT (662475.818178614 5107291.0917426)";29;Ronca Camp!  Laboratorio di competenze civiche;Ronca Camp!  Laboratorio di competenze civiche;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Ronca-Camp-Laboratorio-di-competenze-civiche
"POINT (664170.493149752 5102496.79740099)";51;Matteottimisti - la festa di via Matteotti;Matteottimisti - la festa di via Matteotti;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Matteottimisti-la-festa-di-via-Matteotti
"POINT (664065.996666646 5103647.59666667)";52;"Sport, un bene comune";"Sport, un bene comune";https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Sport-un-bene-in-comune
"POINT (663896.130341335 5106034.13788333)";53;"Bilu: punto di incontro, aggregazione e promozione culturale";"Bilu: punto di incontro, aggregazione e promozione culturale";https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Bilu-punto-di-incontro-aggregazione-e-promozione-culturale
"POINT (664050.389171742 5103909.97649183)";55;Pronto P.I.A. Persone Insieme per gli Anziani;Pronto P.I.A. Persone Insieme per gli Anziani;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Pronto-P.I.A.-Persone-Insieme-per-gli-Anziani
"POINT (664050.623176271 5103902.43148533)";21;Patto di collaborazione per un laboratorio partecipato sugli orti urbani;Patto di collaborazione per un laboratorio partecipato sugli orti urbani;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-un-laboratorio-partecipato-sugli-orti-urbani
"POINT (664050.918472406 5103898.87268272)";56;I fiori della solidarieta';I fiori della solidarieta';https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-I-fiori-della-solidarieta
"POINT (664461.374943742 5103293.74609373)";57;Questione di stile. Vivere lo spazio pubblico in modo creativo.;Questione di stile. Vivere lo spazio pubblico in modo creativo.;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Questione-di-stile.-Vivere-lo-spazio-pubblico-in-modo-creativo
"POINT (664320.036865439 5102259.36455453)";47;Orto aperto 3.0;Orto aperto 3.0;"
https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Orto-Aperto-3.0"
"POINT (664458.292281546 5103323.13414)";58;Giardino d'estate ragazzi - Teatro famiglie;Giardino d'estate ragazzi - Teatro famiglie;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Giardino-d-estate-ragazzi-Teatro-famiglie
"POINT (663981.30168449 5105822.96766977)";60;Dal Trentino al Mondo: storie di emigrazione ;Dal Trentino al Mondo: storie di emigrazione ;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/Dal-Trentino-al-Mondo-storie-di-emigrazione
"POINT (663531.181626238 5109857.35044047)";61;"""Meano Bella""";"""Meano Bella""";https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Meano-Bella
"POINT (665092.8074082 5100974.28600752)";62;In biblioteca per fare comunita';In biblioteca per fare comunita';https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-In-biblioteca-per-fare-comunita
"POINT (664300.472291608 5102332.92874998)";64;Sotto Sale';Sotto Sale';https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Sotto-Sale
"POINT (663698.67451599 5102867.02444311)";65;Il futuro che vorrei;Il futuro che vorrei;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Il-futuro-che-vorrei
"POINT (664563.235833326 5103843.61770833)";66;Il giardino incantato;Il giardino incantato;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Il-giardino-incantato
