wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663651.679281011 5104829.25099142,663853.691406611 5104769.85937498)";Pista ciclabile in via F.lli Fontana dal civ.2/1 al civ.33;Ciclabile;;;2017;;"12";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664338.827753279 5103501.0816767,664355.210419946 5103514.26460378,664368.841310571 5103523.22387461,664382.910989442 5103525.45052077,664398.918862656 5103519.83215065,664402.887031129 5103531.66822911)";Percorso ciclopedonale in p.zza Fiera nel tratto compreso tra Largo Pigarelli e il civ.1;Ciclopedonale;;;2020;;"14";2.1 PRO PED;;;;E
"LINESTRING (664325.434369862 5102487.01001083,664328.478431482 5102497.05184228,664324.066485523 5102513.29558058,664326.092128938 5102533.88614176,664338.486277204 5102564.65782022,664347.34981888 5102584.36927857,664355.088881388 5102588.40417441,664360.18211056 5102593.10052858,664370.467787653 5102606.26354943,664376.883933493 5102621.37787236,664378.736016828 5102632.98646612,664385.747475169 5102641.98229946,664392.130548092 5102652.13568489,664403.27612102 5102658.71719531,664413.39643353 5102672.67396616,664417.497475201 5102675.58438283,664420.407891871 5102680.14844533,664429.172214796 5102698.20625785,664438.049635482 5102710.50025853,664443.341302154 5102717.90859187,664465.486277333 5102739.74584122,664485.197735687 5102757.20834124,664490.753985692 5102765.87344542,664514.211590594 5102791.13879238)";Percorso ciclabile da inizio parco lungo argine destro torrente Fersina fino al ponte dei Cavalleggeri;Ciclabile;;;;;"7";1.1 PCSP;;;NESSUNO;E
"LINESTRING (664538.162050528 5103262.58525264,664549.366490274 5103244.13362434)";"Percorso ciclopedonale in via dei Mille, dall'intersezione con via Abba al num. Civ. 1 (lato est)";Ciclopedonale;;;2020;;"8";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (665021.614155327 5103095.18409953,665024.56394341 5103098.58643449,665025.139896535 5103107.033747,665028.275641327 5103111.32139804,665032.179323619 5103114.07317408,665043.365509421 5103113.96271254)";"Pista ciclabile monodirezionale (ovest-est) in piazza Vicenza, tratto prospiciente i civici 6 e 11";Ciclabile;;;2020;;"14";1.3 PCCR marc;911/2020;Mono;;E
"LINESTRING (664092.225231627 5102622.28728269,664073.490230874 5102686.44557098)";Percorso ciclopedonale - via V. Veneto (ex caserme duca d'Aosta): tratto ovest civ.46-50;Ciclopedonale;;;2020;;"0";2.1 PRO PED;;;;E
"LINESTRING (664994.682258174 5102746.94789471,665001.28919604 5102772.75090033)";"Corsia ciclabile monodirezionale (sud-nord) su via Gerola, tratto dal civico 8 all'intersezione con via Giraldi (lato est)";Corsia ciclabile;;;2020;;"14";3.4 CC 12-bis;991/2020;Mono;;E
"LINESTRING (664542.209717691 5102775.99511893,664527.184759578 5102792.34037832)";Pista ciclabile contigua al marciapiede sul ponte dei Cavalleggeri: tratto monodirezionale S-N  sul lato est;Ciclabile;;;2023;;"7";1.3 PCCR marc;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (664442.637899754 5102493.77475861,664494.714379553 5102580.15305229,664497.604594007 5102584.94255053,664501.2 5102593.2,664474.5 5102609.6,664467.139723247 5102618.02571187,664465.107581488 5102620.17397601,664462.90125615 5102621.68356704,664460.230441267 5102622.67060732,664456.282280135 5102623.13509686,664452.392180197 5102622.49642374,664449.489120541 5102621.1029551,664446.760244465 5102618.19989545,664440.489635609 5102607.28439114,664430.270865622 5102590.91113469,664427.019438808 5102586.38236162,664424.464746311 5102584.40828106,664420.948268124 5102583.53057322,664414.057891865 5102588.33802857)";Percorso ciclopedonale di collegamaneto tra via Marsala e via Palermo;Ciclopedonale;;;2016;;"0";2.1 PRO PED;84/2016;;;E
"LINESTRING (664367.457274846 5102808.5516469,664424.777709901 5102873.10301491,664429.396131317 5102875.62215386,664440.007049941 5102875.54581632)";Percorso ciclopedonale - via V. Veneto;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664017.777970742 5102098.14107091,663939.194531946 5102086.38824846,663919.366409884 5102080.72307073,663912.568196606 5102080.8538056,663905.682826747 5102082.24831089,663902.588768139 5102076.88818119,663897.577264761 5102072.26888242,663827.786632932 5102036.77436501,663820.073275559 5102035.29270314,663813.906947489 5102036.92688903,663807.413782242 5102041.11040489,663797.037216344 5102044.79114902,663792.784300913 5102047.83708624,663788.718695727 5102051.30772481,663785.73439969 5102055.54691593,663782.988150559 5102061.72293618,663773.705974737 5102058.7378233,663770.658478758 5102059.75679574,663768.738049649 5102062.3112431,663762.615299869 5102080.89738389,663755.294147108 5102104.34250404,663741.587551979 5102146.91268581)";Percorso ciclabile da via del Maso Smalz allo svincolo per via San Pio X;Ciclabile;;;;;"6";1.3 PCCR marc;;;;E
"LINESTRING (664922.439632383 5103204.75582994,664941.332575298 5103186.92432386)";Corsia ciclabile monodirezionale N-S lato ovest ponte Borzaga;Corsia ciclabile;;;2023;;"7";3.4 CC 12-bis;1567/2023;Mono;MANUTENZIONE;E
"LINESTRING (664325.434369862 5102487.01001083,664322.587644983 5102488.86657054,664299.34970602 5102450.15730071,664296.998063729 5102451.8591471,664295.853185244 5102454.95341327,664306.744552283 5102477.41516026,664307.023486131 5102480.54299453,664302.413029532 5102483.04935013)";Percorso ciclopedonale - lungo Fersina;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664945.775790638 5103191.9575097,664927.597324561 5103209.84099052)";Corsia ciclabile monodirezionale S-N lato est ponte Borzaga;Corsia ciclabile;;;2023;;"14";3.4 CC 12-bis;1567/2023;Mono;;E
"LINESTRING (664202.799007141 5102723.2473736,664201.147221427 5102727.94975456,664205.603047672 5102731.8478134,664253.760247543 5102746.00925024,664302.276817839 5102760.76772297,664335.847036547 5102771.08739384)";Pista ciclabile - via V. Veneto;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663930.291329558 5102676.11079259,663939.415151549 5102678.92522177,663942.691665687 5102676.50888792,663956.33391083 5102669.02040789,664088.678267308 5102709.45872264,664089.858208311 5102711.22863415,664089.417310712 5102715.8440998)";Pista ciclabile - via V. Veneto: tratto tra via Bezzi e via Mattioli;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663394.937834394 5102496.67289953,663366.238890844 5102497.10259557)";Percorso ciclopedonale - passerella surd sull'Adigetto;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663652.776855735 5102116.05474507,663703.442935185 5102139.87665874,663736.994343841 5102150.29294575,663741.587551979 5102146.91268581)";Corsia ciclabile in via del Maso Smalz: tratto tra il civ.11 e via Ghiaie (dir. ovest-est);Corsia ciclabile;;;2023;;"6";3.4 CC 12-bis;;Mono;;E
